artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
kelly clarkson,piece by piece,2015,0.000515996,0.052898988,0.000515996,0.000515996,0.03056308,0.000515996,0.024472977,0.115243714,0.02765703,0.000515996,0.000515996,0.628222261,0.572186722,0.595012366,0.808802837,https://www.youtube.com/watch?v=LqCqYP7hDWI
rich homie quan,"flex (ooh, ooh, ooh)",2015,0.009873141,0.000431406,0.000431406,0.000431406,0.009494346,0.012824574,0.000431406,0.000431406,0.709975967,0.012857328,0.047454081,0.000431406,0.721650601,0.887675185,0.620608772,https://www.youtube.com/watch?v=bWMw4vE3J8s
logic,lord willin',2015,0.012091701,0.000378644,0.10835565,0.000378644,0.033256519,0.083644908,0.121904243,0.233086047,0.310342493,0.000378644,0.077004446,0.000378644,0.635004874,0.559975268,0.850846193,https://www.youtube.com/watch?v=cqTrC1fEnUk
twice,ooh-ahh?ÂÃªÂ²Â like ooh-ahh,2015,0.137400125,0.00075188,0.145418399,0.075486382,0.00075188,0.00075188,0.00075188,0.00075188,0.447039673,0.00075188,0.101739928,0.00075188,0.712986028,0.690849134,0.876873031,
george ezra,blame it on me,2015,0.000923361,0.078914063,0.047423433,0.340972953,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.281265022,0.51695007,0.41055235,0.75674916,https://www.youtube.com/watch?v=H4ifSrE8iSg
marc e. bassy,drunk & i'm drunk,2015,0.116471574,0.000381388,0.319656276,0.142606903,0.032499852,0.000381388,0.000381388,0.094141941,0.156167455,0.000381388,0.082827311,0.000381388,0.781219539,0.3569662,0.554540642,https://www.youtube.com/watch?v=GYl4YppuZwA
kodak black,like dat,2015,0.000453721,0.000453721,0.046553116,0.000453721,0.000453721,0.01977515,0.000453721,0.000453721,0.740842797,0.000453721,0.090130035,0.000453721,0.852702264,0.472382523,0.476460126,https://www.youtube.com/watch?v=6_mWyjJQxWg
shawn mendes,act like you love me,2015,0.000773994,0.000773994,0.116878779,0.319227459,0.000773994,0.000773994,0.166749848,0.000773994,0.000773994,0.000773994,0.120821759,0.168722189,0.403227553,0.282769992,0.398379609,https://www.youtube.com/watch?v=KU1VnPXSzxc
g-eazy,you got me,2015,0.000322893,0.000322893,0.000322893,0.000322893,0.000322893,0.000322893,0.000322893,0.000322893,0.918926876,0.000322893,0.000322893,0.000322893,0.740062818,0.543487222,0.635624256,https://www.youtube.com/watch?v=-3wlroM2gZ8
daniel caesar,death & taxes,2015,0.00122399,0.164614746,0.396538642,0.00122399,0.00122399,0.00122399,0.027899463,0.206493304,0.00122399,0.00122399,0.00122399,0.132215337,0.418390556,0.191055235,0.328307351,https://www.youtube.com/watch?v=fYH-GGMI8Nw
drake,scholarships,2015,0.000482859,0.000482859,0.126533986,0.000482859,0.040233455,0.000482859,0.000482859,0.000482859,0.457906658,0.000482859,0.000482859,0.000482859,0.535362287,0.239488871,0.41639819,https://www.youtube.com/watch?v=oUzcV-ETiWI
disclosure,omen,2015,0.035926066,0.000877193,0.038286059,0.086972792,0.034371643,0.000877193,0.000877193,0.000877193,0.000877193,0.000877193,0.000877193,0.62946351,0.599263511,0.683635614,0.781774966,https://www.youtube.com/watch?v=fB63ztKnGvo
yelawolf,till it's gone,2015,0.043208632,0.000510986,0.000510986,0.000510986,0.000510986,0.000510986,0.000510986,0.099577661,0.453628861,0.000510986,0.000510986,0.056363001,0.499620925,0.345630668,0.714705805,https://www.youtube.com/watch?v=Ndpryp2OlUQ
the weeknd,angel,2015,0.035816939,0.000427899,0.177614152,0.000427899,0.223995798,0.000427899,0.000427899,0.1408702,0.000427899,0.000427899,0.000427899,0.000427899,0.611177299,0.320898599,0.583570578,https://www.youtube.com/watch?v=QAAOynFujNw
russ,too many,2015,0.000565931,0.000565931,0.000565931,0.334010725,0.015756581,0.000565931,0.000565931,0.188816046,0.440291823,0.000565931,0.000565931,0.000565931,0.737896675,0.344600165,0.507492126,https://www.youtube.com/watch?v=VbRZMZisILw
russ,willy wonka (feat. paulina & jafÃÂ©),2015,0.000907441,0.000907441,0.000907441,0.000907441,0.000907441,0.017384107,0.028404155,0.000907441,0.36876322,0.000907441,0.213325017,0.03094842,0.798548684,0.170445177,0.496480771,
mac miller,rush hour,2015,0.010892545,0.000501253,0.238605929,0.000501253,0.027704345,0.013099933,0.000501253,0.022995026,0.550396415,0.000501253,0.034640911,0.000501253,0.585183581,0.288953009,0.472455997,https://www.youtube.com/watch?v=gOAO4y9Yu_k
tiÃÂ«sto,split (only u),2015,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.11940601,0.001385042,0.445508734,0.001385042,0.001385042,0.619841872,0.336356142,0.927925677,https://www.youtube.com/watch?v=Dr1nN__-2Po
justin bieber,no pressure,2015,0.024051465,0.000320924,0.074198757,0.331062078,0.026326384,0.007400641,0.000320924,0.133617109,0.055660305,0.000320924,0.050203743,0.030091174,0.636087945,0.515663644,0.611599481,https://www.youtube.com/watch?v=154himd-3ZE
x ambassadors,american oxygen,2015,0.000598086,0.440298288,0.000598086,0.000598086,0.119520568,0.000598086,0.000598086,0.000598086,0.015441868,0.000598086,0.020450953,0.000598086,0.350157045,0.307502061,0.482466319,https://www.youtube.com/watch?v=b-RIju0fLHs
drake,6 man,2015,0.039712505,0.000584795,0.000584795,0.099169316,0.000584795,0.134057782,0.000584795,0.131415961,0.508309311,0.030756244,0.000584795,0.01641093,0.797465612,0.354905194,0.529514836,https://www.youtube.com/watch?v=WvXTpZawgSM
somo,make up sex,2015,0.000604961,0.000604961,0.000604961,0.047429678,0.000604961,0.017966878,0.000604961,0.000604961,0.759421382,0.000604961,0.025895005,0.043321895,0.694573811,0.462077494,0.586573675,https://www.youtube.com/watch?v=RuZu8-jlGOQ
g-eazy,forbes,2015,0.000762777,0.000762777,0.000762777,0.016035687,0.118216311,0.098999205,0.000762777,0.146728786,0.424998549,0.000762777,0.136280871,0.000762777,0.742228961,0.491962077,0.782775999,https://www.youtube.com/watch?v=paWIfLD4S2o
bryson tiller,rambo,2015,0.000465766,0.136227289,0.000465766,0.000465766,0.009691762,0.000465766,0.000465766,0.1972528,0.566735791,0.023870214,0.060167182,0.000465766,0.620924943,0.272464963,0.5625489,https://www.youtube.com/watch?v=J5SdTeijDhY
